scan,t,tau,beta,c,y0,dtau,dbeta,dc,dy0,ID_sample,T,d,E,Q,Note
GeO2_6_660C_0002_0003,10.5,0.30617790297023,0.6780159889537156,0.0214771061386786,1.0027243717667078,0.1685318939907032,0.2335623577515566,0.006373131134248,0.0001869783770149,6,660,100,9.7,0.19,
GeO2_6_730C_0001_0003,10.5,0.0595828354940674,0.551237876638421,0.0249985093296218,1.002496286359873,0.0924795331037837,0.3753439936549957,0.0182900798896877,0.0001757959735595,6,730,100,9.7,0.19,
GeO2_6q_delcoup_1.75_0001_0001,28.1,5.5215216599880526,0.7999772013404166,0.0342702739076215,1.0019966980051258,0.587357229173144,0.0835580269290454,0.0024551452400361,0.0003331622542815,6,30,100,9.7,0.19,
GeO2_6q_delcoup_1_0001_0002,26.4,5.497654124742246,0.7819022400493274,0.0315374911660322,1.0026796383107033,0.1602582093535789,0.0225614815342882,0.0006250285848521,9.267980965631438e-05,6,30,100,9.7,0.13,
GeO2_6q_delcoup_3_0001_0002,28.3,4.80223418227018,0.7483695718898621,0.0288785199070195,1.00241926925558,0.1348052722466527,0.0186678824186706,0.0005177310242021,6.249682593211366e-05,6,30,100,9.7,0.293,
GeO2_6q_delcoup_5_0001_0002,26.4,4.913279146456101,0.7892639159069014,0.0065952317819725,1.0032707425890803,0.269334971438975,0.0412528858548795,0.0002394771222965,3.079754901512666e-05,6,30,100,9.7,0.461,
GeO2_7_100C_0001_0003,93.5,5.717311960272326,0.7527204973505502,0.026642466876598,1.0024236645845022,0.2266162200385171,0.0224260160167822,0.0006166431469569,3.0474097358062387e-05,7,100,100,9.7,0.19,
GeO2_7_170C_0001_0003,93.5,5.13687126708713,0.7209716776381648,0.0273643988729328,1.0024189124642602,0.170310631343512,0.016829047119579,0.0005139332033901,2.3345067291498197e-05,7,170,100,9.7,0.19,
GeO2_7_240C_0001_0003,93.5,4.77427290784669,0.7298419373342704,0.0266178384938209,1.0024308320080493,0.1981695112534316,0.0215994221889607,0.000629673415151,2.7343214718452988e-05,7,240,100,9.7,0.19,
GeO2_7_30C_0003_0003,93.5,6.250520217282278,0.8150262450619928,0.0283001450857719,1.0023165407152004,0.1753064630065801,0.019268728117211,0.0004888058771762,2.6340290796800877e-05,7,30,100,9.7,0.19,
GeO2_7_310C_0001_0003,93.5,3.913622030627349,0.6943294099355543,0.0265431837894857,1.0023565033244064,0.206171909161726,0.0240812042843696,0.0007684642313444,2.8845746863426867e-05,7,310,100,9.7,0.19,
GeO2_7_345C_0001_0003,192.5,3.495686386714205,0.6873994932276386,0.0262912605739023,1.0023793632632467,0.1361520602328076,0.0169641734708082,0.0005536661561094,1.2665475337182164e-05,7,345,100,9.7,0.19,
GeO2_7_380C_0001_0003,192.5,3.0862939618112657,0.6943428982087598,0.0255328370762619,1.002384176954155,0.127228627332077,0.0183715936389709,0.0005726722561933,1.2284865278059394e-05,7,380,100,9.7,0.19,
GeO2_7_415C_0001_0003,192.5,2.92759088479439,0.6701495707401228,0.0254658211371401,1.0024243739368257,0.1365428384754896,0.0189276471964312,0.0006326420451441,1.2620167073882198e-05,7,415,100,9.7,0.19,
GeO2_7_450C_0001_0003,198.0,3.017592953346517,0.615843986513408,0.0256663079935428,1.002424875486125,0.1434091749781886,0.015630987254361,0.0006138681323686,1.1735846977584976e-05,7,450,100,9.7,0.19,
GeO2_7_485C_0001_0003,192.5,3.730729131747312,0.6339356502159846,0.0243077130397601,1.0024861132518454,0.1868172933121712,0.0178072412788967,0.0006250639097728,1.398306209669844e-05,7,485,100,9.7,0.19,
GeO2_7_520C_0001_0004,64.2,3.77054425588398,0.6359452979870222,0.0243841838806262,1.0024593335970025,0.6702303147824127,0.0681962232978285,0.0022765171818187,0.0001085260886439,7,520,100,9.7,0.19,
GeO2_7_520C_0001_0005,147.4,2.684635378167459,0.6159845345488645,0.0244866882794851,1.0024914113868555,0.1768766013421599,0.0218878034660926,0.0008101596599076,1.7674915620913792e-05,7,520,100,9.7,0.19,
GeO2_7_555C_0001_0004,181.5,1.7522686680771635,0.682623566255516,0.0239971831909553,1.0023682953602122,0.3759888142522214,0.0903521363865669,0.0027805709652694,4.294282483813535e-05,7,555,100,9.7,0.19,
GeO2_7_555C_0001_0004,544.5,1.7723622465457554,0.6091090201955612,0.0248154477972796,1.002269758474217,0.4761688174966479,0.0849905067730534,0.003333763943604,4.837064749663155e-05,7,555,100,9.7,0.19,
GeO2_7_555C_0001_0004,907.5,1.81817439827156,0.6576339597204349,0.0239195558841606,1.0024160972252358,0.3887879793058477,0.0820348086620355,0.0026926934358186,4.149364743523454e-05,7,555,100,9.7,0.19,
GeO2_7_590C_0001_0004,183.2,2.667811819550555,0.6652224579567487,0.0227171101322591,1.0024651815728212,0.5013102206333219,0.0747700044751047,0.0022630062702166,4.374532809697648e-05,7,590,100,9.7,0.19,
GeO2_7_590C_0001_0004,549.4,2.756289859540732,0.6880376177029949,0.0225193068517351,1.002473412104239,0.4768901626237016,0.0749530601345272,0.0021130793811616,4.2470658865884457e-05,7,590,100,9.7,0.19,
GeO2_7_590C_0001_0004,915.8,2.6379050621347293,0.6800424750098334,0.0231002141080373,1.002437458103289,0.5750639693396966,0.0916361849540549,0.0027096349266728,5.2716343968309966e-05,7,590,100,9.7,0.19,
GeO2_7_625C_0001_0004,16.5,1.6121690829706317,0.7182656135812635,0.0223748003578454,1.002519217574124,0.1197560531787282,0.0395650965506624,0.0009689257851635,6.682131746976294e-05,7,625,100,9.7,0.19,
GeO2_7_660C_0001_0004,55.0,0.9432248567251086,0.710261527699121,0.0220557973451048,1.0025069813212846,0.0917247332338393,0.0459051342318968,0.0011853831193172,2.6742412367679157e-05,7,660,100,9.7,0.19,
GeO2_7_660C_0001_0007,33.0,0.7455589646215227,0.6431490612794144,0.0215102080303871,1.0025121239438903,0.1150699736416542,0.0572204141915733,0.0017210727669785,4.287713412200326e-05,7,660,100,9.7,0.19,
GeO2_7_660C_0001_0009,33.0,0.7244237164226018,0.7280499208733547,0.0224638987058951,1.002439621334637,0.1003363355387561,0.0697406992736338,0.0017523030208729,4.574436389403404e-05,7,660,100,9.7,0.19,
GeO2_7_660C_0001_0012,48.1,0.844395221455679,0.7061783773895922,0.021709086861081,1.0025077018629902,0.1326303345815878,0.0730871757399925,0.0018778465569735,4.266860596565377e-05,7,660,100,9.7,0.19,
GeO2_7_695C_0001_0004,54.1,0.5554237654503246,0.7435622607747329,0.0197348812339376,1.0024849168248289,0.0848946228463038,0.0786171502701565,0.0017471424071154,2.729939909894183e-05,7,695,100,9.7,0.19,
